"""Preliminär Huvudbok""";;;;;;;;
Samis Jackets AB;;;;;;;;
559489-5301;;;;;;;;
"""Utskriftsdatum"": den 6 January 2026 18:53:59";;;;;;;;
;;;;;;;;
"""Räkenskapsår:"" 2024-07-01 - 2025-12-31";;;;;;;;
"""Avser perioden"" 2024-07-01 - 2025-12-31";;;;;;;;
;;;;;;;;
;;;;;;;;
"""Konto""";"""Verifikation""";"""Datum""";"""Beskrivning""";"""Momskod""";"""Moms""";"""Debet""";"""Kredit""";"""Saldo"""
1220 Inventarier och verktyg;;;;;;;;
;A 6;2024-08-26;(PEGASUS ISTANBUL)Business Travel: Airfare for M.S. Alsharef, supplier sourcing;;;;1 039,99;-14 320,21
;A 8;2024-08-26;(THE GREEN OTEL)Business Travel: Airfare for M.S. Alsharef, supplier sourcing;;;;2 484,60;-16 804,81
;A 146;2024-08-26;sipay/taksi yonetim;;;;440,65;-17 245,46
;A 5;2024-08-27;utgift/kostnad (AKBANK/IMC ISTANBUL);;;;987,25;-18 232,71
;A 7;2024-08-27;utgift/kostnad (ZAYAROGLU GIDA SAANAYI VE );;;;250,96;-18 483,67
;A 145;2024-08-27;uber *trip;;;;40,06;-18 523,73
;A 10;2024-09-06;(AJET.COM ISTANBUL);;;;291,57;-18 815,30
;A 11;2024-09-06;(ST1 ESKILSTUNA);;;;667,63;-19 482,93
;A 161;2024-09-06;( mlartg);;;;348,00;-19 830,93
;A 12;2024-09-10;utgift/kostnad ( DARA ENERGI A.S) DRIVMEDEL;;;;652,06;-20 482,99
;A 13;2024-09-11;(ISTANBUL SABINA GOKCEN) TAKE AWAY;;;;192,97;-20 675,96
;A 159;2024-09-11;Preem Rosersberg;;;618,30;;-20 057,66
;A 144;2024-09-12;Pegasus hava tasimacilik;;;;118,97;-20 176,63
;A 144;2024-09-12;Pegasus hava tasimacilik;;;;35,69;-20 212,32
;A 9;2024-09-14;(RECOMPUTE IT NORDIC );;;;400,00;-20 612,32
;A 143;2024-09-14;Shopify * 273667915;;;;169,75;-20 782,07
;A 171;2024-09-17;Loan from Director to Company - Cash Flow Support;;;;35 000,00;-55 782,07
;A 142;2024-09-18;Shopify * 274917290;;;;11,53;-55 793,60
;A 20;2024-10-01;CARGO CENTER KONTANTF, 202406312 FLYterminalavgift;;;;3 280,88;-59 074,48
;A 40;2024-10-01;utgift/kostnad (okq8 drivmedel );;;;550,29;-59 624,77
;A 141;2024-10-01;Google GSUITE-samisjack (google workspace);;;;10,64;-59 635,41
;A 39;2024-10-02;utgift/kostnad (okq8 drivmedel );;;;745,39;-60 380,80
;A 140;2024-10-03;Aimo Park Sweden;;;;84,95;-60 465,75
;A 140;2024-10-03;Aimo Park Sweden;;;;69,95;-60 535,70
;A 158;2024-10-03;Ryanair Ltd. Dublin;;;;192,08;-60 727,78
;A 162;2024-10-03;OPODO internet transaktion;;;;5 967,68;-66 695,46
;A 138;2024-10-07;Aimo Park Sweden;;;;29,95;-66 725,41
;A 138;2024-10-07;Aimo Park Sweden;;;;29,95;-66 755,36
;A 138;2024-10-07;Aimo Park Sweden;;;;29,95;-66 785,31
;A 139;2024-10-07;sj app;;;;214,00;-66 999,31
;A 24;2024-10-08;Rusta;;;;1 183,30;-68 182,61
;A 26;2024-10-08;Biltema;;;;365,00;-68 547,61
;A 62;2024-10-08;utgift/kostnad (okq8);;;;687,59;-69 235,20
;A 115;2024-10-08;JULA;;;;365,00;-69 600,20
;A 23;2024-10-09;Dollarstore;;;;388,00;-69 988,20
;A 25;2024-10-09;Biltema;;;;1 934,40;-71 922,60
;A 137;2024-10-09;Aimo Park Sweden;;;;29,95;-71 952,55
;A 15;2024-10-10;TEMU PO-191-055293649567125515;;;;2 030,55;-73 983,10
;A 28;2024-10-10;biltema;;;;1 201,00;-75 184,10
;A 35;2024-10-10;Clas Ohlson;;;;80,00;-75 264,10
;A 117;2024-10-10;patent och regverket;;;;2 400,00;-77 664,10
;A 34;2024-10-11;biltema;;;;802,00;-78 466,10
;A 44;2024-10-11;max burgers;;;;422,00;-78 888,10
;A 45;2024-10-11;max burgers;;;;91,00;-78 979,10
;A 27;2024-10-12;Biltema;;;;499,00;-79 478,10
;A 32;2024-10-12;LIDL;;;;504,54;-79 982,64
;A 136;2024-10-12;Aimo Park Sweden;;;;128,95;-80 111,59
;A 136;2024-10-12;Aimo Park Sweden;;;;29,95;-80 141,54
;A 30;2024-10-15;Clas Ohlson;;;;240,00;-80 381,54
;A 37;2024-10-16;Aimo Park Sweden;;;;314,95;-80 696,49
;A 169;2024-10-16;Loan from Director to Company - Cash Flow Support;;;;120 000,00;-200 696,49
;A 16;2024-10-18;TEMU PO-191-06903722854952515;;;;1 215,68;-201 912,17
;A 46;2024-10-18;shopify avgift f. 285551379;;;;1 222,65;-203 134,82
;A 154;2024-10-22;n26 top-up;;;;233,10;-203 367,92
;A 152;2024-10-24;apple.com bill;;;;250,00;-203 617,92
;A 33;2024-10-25;Clas Ohlson;;;;1 499,00;-205 116,92
;A 41;2024-10-26;max burgers;;;;490,00;-205 606,92
;A 42;2024-10-26;max burgers;;;;25,00;-205 631,92
;A 135;2024-10-27;Aimo Park Sweden;;;;29,95;-205 661,87
;A 19;2024-10-28;CARGO CENTER KONTANTF. 202407034 FLYterminalavgift;;;;3 837,38;-209 499,25
;A 22;2024-10-28;Clas Ohlson;;;;249,00;-209 748,25
;A 29;2024-10-28;Biltema;;;;399,00;-210 147,25
;A 31;2024-10-28;Clas Ohlson;;;;40,00;-210 187,25
;A 38;2024-10-28;utgift/kostnad (shell drivmedel );;;;672,45;-210 859,70
;A 14;2024-10-29;TEMU PO-191-15837295250472515;;;;476,40;-211 336,10
;A 43;2024-10-29;max burgers;;;;590,00;-211 926,10
;A 47;2024-10-29;Aimo Park Sweden;;;;29,99;-211 956,09
;A 134;2024-10-29;Aimo Park Sweden;;;;29,95;-211 986,04
;A 18;2024-10-30;LF SRMLAND FRSKRINGSPREMIE F: 69006*00 (korrigerad med verifikation A241 av Mohammad Sami Alsharef, 2025-06-27);;;;3 960,00;-215 946,04
;A 36;2024-10-30;WILLYS;;;;1 053,40;-216 999,44
;A 153;2024-10-30;Aimo Park Sweden;;;;500,00;-217 499,44
;A 153;2024-10-30;Aimo Park Sweden;;;;500,00;-217 999,44
;A 172;2024-10-30;Korrigering av ver.nr. A21, LF SRMLAND FRSKRINGSPREMIE F: 69006*00 (av Mohammad Sami Alsharef, 2025-06-27);;;3 960,00;;-214 039,44
;A 17;2024-10-31;AIMO PARK - HYRESAVI F.41986401814;;;;1 862,90;-215 902,34
;A 63;2024-11-01;google GSUITE SAMISJAC;;;;163,15;-216 065,49
;A 53;2024-11-02;Biltema;;;;770,50;-216 835,99
;A 51;2024-11-04;WILLYS;;;;1 726,09;-218 562,08
;A 69;2024-11-04;utgift/kostnad (willys );;;;1 726,09;-220 288,17
;A 52;2024-11-06;Clas Ohlson;;;;20,00;-220 308,17
;A 49;2024-11-07;Biltema;;;;164,70;-220 472,87
;A 50;2024-11-07;RUSTA;;;;49,90;-220 522,77
;A 54;2024-11-07;Clas Ohlson;;;;180,00;-220 702,77
;A 57;2024-11-07;Clas Ohlson;;;;649,00;-221 351,77
;A 59;2024-11-07;Clas Ohlson;;;;219,00;-221 570,77
;A 64;2024-11-07;utgift/kostnad (ST1);;;;676,93;-222 247,70
;A 65;2024-11-09;max burgers;;;;890,00;-223 137,70
;A 56;2024-11-11;Clas Ohlson;;;;399,00;-223 536,70
;A 58;2024-11-12;Clas Ohlson;;;549,00;;-222 987,70
;A 71;2024-11-13;(google ads 5215017274);;;;100,00;-223 087,70
;A 55;2024-11-14;WILLYS;;;;3 210,24;-226 297,94
;A 156;2024-11-14;AI-marknadsfring OPENAI;;;;112,11;-226 410,05
;A 61;2024-11-15;Aimo Park Sweden;;;;314,95;-226 725,00
;A 75;2024-11-16;Aimo Park Sweden;;;;314,95;-227 039,95
;A 133;2024-11-16;apple.com bill;;;;18,00;-227 057,95
;A 93;2024-11-17;shopify avgift f. 296203582;;;;1 779,28;-228 837,23
;A 132;2024-11-17;(google ads5215017274);;;;500,00;-229 337,23
;A 101;2024-11-18;Tiktok Ads*tiktok Ads Dublin;;;;90,00;-229 427,23
;A 102;2024-11-18;Tiktok Ads* tiktok Ads Dublin;;;;90,00;-229 517,23
;A 103;2024-11-18;Tiktok Ads*tiktok Ads Dublin;;;;40,00;-229 557,23
;A 149;2024-11-18;apple.com bill;;;;39,00;-229 596,23
;A 104;2024-11-19;Tiktok Ads*tiktok Ads Dublin;;;;180,00;-229 776,23
;A 131;2024-11-19;SNAP *snap ads;;;;63,39;-229 839,62
;A 131;2024-11-19;SNAP *snap ads;;;;57,08;-229 896,70
;A 131;2024-11-19;SNAP *snap ads;;;;43,48;-229 940,18
;A 131;2024-11-19;SNAP *snap ads;;;;29,51;-229 969,69
;A 131;2024-11-19;SNAP *snap ads;;;;27,97;-229 997,66
;A 131;2024-11-19;SNAP *snap ads;;;;23,30;-230 020,96
;A 131;2024-11-19;SNAP *snap ads;;;;17,79;-230 038,75
;A 105;2024-11-20;Tiktok Ads*tiktok Ads Dublin;;;;450,00;-230 488,75
;A 128;2024-11-20;Google GSUITE-samisjack (google workspace);;;;1 000,00;-231 488,75
;A 130;2024-11-20;SNAP *snap ads;;;;63,65;-231 552,40
;A 130;2024-11-20;SNAP *snap ads;;;;55,46;-231 607,86
;A 130;2024-11-20;SNAP *snap ads;;;;29,84;-231 637,70
;A 130;2024-11-20;SNAP *snap ads;;;;25,91;-231 663,61
;A 130;2024-11-20;SNAP *snap ads;;;;25,21;-231 688,82
;A 130;2024-11-20;SNAP *snap ads;;;;23,09;-231 711,91
;A 72;2024-11-21;utgift/kostnad (google ads 5215017274);;;;2 000,00;-233 711,91
;A 129;2024-11-21;SNAP *snap ads;;;;112,24;-233 824,15
;A 129;2024-11-21;SNAP *snap ads;;;;18,98;-233 843,13
;A 129;2024-11-21;SNAP *snap ads;;;;16,01;-233 859,14
;A 129;2024-11-21;SNAP *snap ads;;;;10,57;-233 869,71
;A 73;2024-11-23;utgift/kostnad (google ads 5215017274);;;;3 500,00;-237 369,71
;A 100;2024-11-23;tiktok ads;;;;450,00;-237 819,71
;A 106;2024-11-25;Tiktok Ads*tiktok Ads London;;;;450,00;-238 269,71
;A 107;2024-11-26;Facebook Ads /Dublin;;;;22,00;-238 291,71
;A 107;2024-11-26;Facebook Ads /Dublin;;;;22,00;-238 313,71
;A 107;2024-11-26;Facebook Ads /Dublin;;;;22,00;-238 335,71
;A 107;2024-11-26;Facebook Ads /Dublin;;;;25,00;-238 360,71
;A 107;2024-11-26;Facebook Ads /Dublin;;;;22,00;-238 382,71
;A 107;2024-11-26;Facebook Ads /Dublin;;;;22,00;-238 404,71
;A 107;2024-11-26;Facebook Ads /Dublin;;;;22,00;-238 426,71
;A 107;2024-11-26;Facebook Ads /Dublin;;;;25,00;-238 451,71
;A 107;2024-11-26;Facebook Ads /Dublin;;;;25,00;-238 476,71
;A 107;2024-11-26;Facebook Ads /Dublin;;;;28,00;-238 504,71
;A 107;2024-11-26;Facebook Ads /Dublin;;;;40,00;-238 544,71
;A 107;2024-11-26;Facebook Ads /Dublin;;;;40,00;-238 584,71
;A 108;2024-11-27;Facebook Ads /Dublin;;;;61,00;-238 645,71
;A 108;2024-11-27;Facebook Ads /Dublin;;;;92,00;-238 737,71
;A 108;2024-11-27;Facebook Ads /Dublin;;;;61,00;-238 798,71
;A 108;2024-11-27;Facebook Ads /Dublin;;;;61,00;-238 859,71
;A 108;2024-11-27;Facebook Ads /Dublin;;;;92,00;-238 951,71
;A 108;2024-11-27;Facebook Ads /Dublin;;;;125,00;-239 076,71
;A 67;2024-11-28;utgift/kostnad (eparkera );;;;64,85;-239 141,56
;A 68;2024-11-28;(CVS CENTER );;;;1 085,00;-240 226,56
;A 109;2024-11-28;Facebook Ads /Dublin;;;;188,00;-240 414,56
;A 109;2024-11-28;Facebook Ads /Dublin;;;;283,00;-240 697,56
;A 109;2024-11-28;Facebook Ads /Dublin;;;;312,00;-241 009,56
;A 150;2024-11-28;(605272 CVS);;;;1 085,00;-242 094,56
;A 66;2024-11-29;WILLYS;;;;1 773,13;-243 867,69
;A 74;2024-11-29;utgift/kostnad ( circle K);;;;691,81;-244 559,50
;A 110;2024-11-29;Facebook Ads /Dublin;;;;344,00;-244 903,50
;A 157;2024-11-29;AI-marknadsfring PictoryAI;;;;1 274,94;-246 178,44
;A 157;2024-11-29;AI-marknadsfring PictoryAI;;;;1 342,05;-247 520,49
;A 60;2024-11-30;Assemblin EL AB (korrigerad med verifikation A243 av Mohammad Sami Alsharef, 2025-06-27) (korrigerad med verifikation A2;;;;4 507,00;-252 027,49
;A 111;2024-11-30;Facebook Ads /Dublin;;;;379,00;-252 406,49
;A 116;2024-11-30;utgift/kostnad (google ads);;;;7 100,00;-259 506,49
;A 151;2024-11-30;apple.com bill;;;;249,00;-259 755,49
;A 81;2024-12-01;(google ads 5215017274);;;;2 708,96;-262 464,45
;A 112;2024-12-01;Tiktok Ads*tiktok Ads London;;;;66,41;-262 530,86
;A 113;2024-12-01;Facebook Ads /Dublin;;;;417,00;-262 947,86
;A 124;2024-12-01;hallon tele;;;;19,00;-262 966,86
;A 124;2024-12-01;hallon tele;;;;19,00;-262 985,86
;A 124;2024-12-01;hallon tele;;;;19,00;-263 004,86
;A 124;2024-12-01;hallon tele;;;;19,00;-263 023,86
;A 124;2024-12-01;hallon tele;;;;19,00;-263 042,86
;A 114;2024-12-02;Facebook Ads /Dublin;;;;459,00;-263 501,86
;A 78;2024-12-03;(okq8);;;;419,52;-263 921,38
;A 84;2024-12-03;utgift/kostnad (shell e4 norr);;;;159,00;-264 080,38
;A 88;2024-12-03;utgift/kostnad (HMS Host Arlanda);;;;171,00;-264 251,38
;A 118;2024-12-03;meta facebook ads;;;;505,00;-264 756,38
;A 126;2024-12-03;(eparkera session 252);;;;36,90;-264 793,28
;A 127;2024-12-03;Google GSUITE-samisjack (google workspace);;;;162,14;-264 955,42
;A 85;2024-12-04;utgift/kostnad (hotel Booking.com );;;;1 985,03;-266 940,45
;A 86;2024-12-04;(yesim) simkort;;;;235,82;-267 176,27
;A 119;2024-12-04;meta facebook ads;;;;556,00;-267 732,27
;A 87;2024-12-05;(yesim) simkort;;;;560,39;-268 292,66
;A 164;2024-12-05;Loan from Director to Company - Cash Flow Support;;;;120 000,00;-388 292,66
;A 80;2024-12-06;utgift/kostnad (hotel Booking.com );;;;1 971,52;-390 264,18
;A 120;2024-12-08;meta facebook ads;;;;556,63;-390 820,81
;A 453;2024-12-11;Received money from ahmed gheyath;;;;177 920,00;-568 740,81
;A 451;2024-12-12;Received money from MOHAMMAD SAMI;;;;133 440,00;-702 180,81
;A 452;2024-12-12;Received money from MOHAMMAD SAMI;;;;94 520,00;-796 700,81
;A 76;2024-12-16;Aimo Park Sweden;;;;314,95;-797 015,76
;A 125;2024-12-16;apple.com bill;;;;18,00;-797 033,76
;A 83;2024-12-17;GOOGLE Google Workspace;;;;162,14;-797 195,90
;A 94;2024-12-17;shopify avgift f. 307497458;;;;2 221,25;-799 417,15
;A 79;2024-12-19;Aimo Park Sweden;;;;314,95;-799 732,10
;A 77;2024-12-21;utgift/kostnad (willys );;;;1 937,17;-801 669,27
;A 82;2024-12-21;utgift/kostnad (hotel Booking.com );;;;3 475,58;-805 144,85
;A 121;2024-12-25;meta facebook ads;;;;464,60;-805 609,45
;A 147;2024-12-27;apple.com bill;;;;39,00;-805 648,45
;A 148;2024-12-27;AI-marknadsfring;;;;11,30;-805 659,75
;A 155;2024-12-27;apple.com bill;;;;35,06;-805 694,81
;A 122;2024-12-28;meta facebook ads;;;;556,00;-806 250,81
;A 123;2024-12-28;meta facebook ads;;;;612,00;-806 862,81
;A 89;2024-12-30;AIMO PARK - HYRESAVI F.41986486320;;;;1 484,34;-808 347,15
;A 90;2024-12-30;Crona kassasystem;;;;220,00;-808 567,15
;A 460;2025-01-08;Swish betalning EASYPARK AB - Business parking;;;;19,00;-808 586,15
;A 284;2025-01-09;Money out to IBAN - SE2150000000057461042734 - ZSE104000077549;;;12 000,00;;-796 586,15
;A 450;2025-01-09;Received money from ahmed gheyath;;;;68 110,00;-864 696,15
;A 448;2025-01-14;Received money from MOHAMMAD SAMI;;;;139,83;-864 835,98
;A 449;2025-01-14;Received money from MOHAMMAD SAMI;;;;50 253,92;-915 089,90
;A 447;2025-01-17;Received money from ahmed gheyath;;;;57 101,20;-972 191,10
;A 446;2025-01-21;Received money from ahmed gheyath;;;;27 841,70;-1 000 032,80
;A 250;2025-01-22;Viva Wallet Card Purchase - WILLYS ESKILSTUNA C;;;708,00;;-999 324,80
;A 242;2025-01-25;Viva Wallet Card Purchase - ARAN FOOD AB;;;1 099,00;;-998 225,80
;A 234;2025-01-28;Repayment of Director's Loan  bil ;;;12 000,00;;-986 225,80
;A 601;2025-02-01;Settlement of supplier invoice via related-party financing (korrigerad med verifikation A764 av Mohammad Sami Alsharef, 2025-12-29);;;278 158,00;;-708 067,80
;A 764;2025-02-01;Korrigering av ver.nr. A601, Settlement of supplier invoice via related-party financing (av Mohammad Sami Alsharef, 2025-12-29);;;;278 158,00;-986 225,80
;A 205;2025-02-08;Viva Wallet Card Purchase - WILLYS ESKILSTUNA C;;;1 253,00;;-984 972,80
;A 200;2025-02-09;Viva Wallet Card Purchase - ARAN FOOD AB;;;2 597,00;;-982 375,80
;A 402;2025-02-11;Card transaction Kontanten;;;1 300,00;;-981 075,80
;A 400;2025-02-12;Repayment of Director's Loan;;;30 505,64;;-950 570,16
;A 586;2025-02-13;Repayment of Director's Loan;;;;15 000,00;-965 570,16
;A 587;2025-02-13;Repayment of Director's Loan;;;;15 000,00;-980 570,16
;A 188;2025-02-17;Viva Wallet Card Purchase - WILLYS ESKILSTUNA C;;;1 573,00;;-978 997,16
;A 581;2025-02-17;Repayment of Director's Loan;;;30 000,00;;-948 997,16
;A 182;2025-02-20;Viva Wallet Card Purchase - ARAN FOOD AB;;;1 145,00;;-947 852,16
;A 459;2025-02-26;"Purchase of co. vehicle; part-financed by Director's Loan bil GLS947";;;;12 500,00;-960 352,16
;A 589;2025-02-27;Loan from Director to Company - Cash Flow Support;;;;7 000,00;-967 352,16
;A 461;2025-03-03;Kortkp ST1 GILLBERGAPLAN - Business fuel;;;;757,40;-968 109,56
;A 396;2025-03-12;Card transaction Babylon Livs;;;32,00;;-968 077,56
;A 387;2025-03-15;Card transaction Ma Livs;;;16,98;;-968 060,58
;A 388;2025-03-15;Card transaction Ma Livs;;;26,96;;-968 033,62
;A 389;2025-03-15;Card transaction Lidl;;;60,70;;-967 972,92
;A 380;2025-03-17;Card transaction In & Finn;;;12,00;;-967 960,92
;A 382;2025-03-17;Card transaction ICA;;;166,00;;-967 794,92
;A 383;2025-03-17;Card transaction Aran Food;;;29,99;;-967 764,93
;A 379;2025-03-22;Card transaction Aran Food;;;686,75;;-967 078,18
;A 342;2025-03-29;Money out to IBAN - SE6230000000030860059626;;;68,00;;-967 010,18
;A 560;2025-03-31;Repayment of Director's Loan;;;8 300,00;;-958 710,18
;A 370;2025-04-04;Card transaction Willys;;;838,90;;-957 871,28
;A 371;2025-04-04;Card transaction Willys;;;1 064,63;;-956 806,65
;A 415;2025-04-07;Sent money to ahmed gheyath al-sharif;;;2 180,35;;-954 626,30
;A 417;2025-04-07;Sent money to ahmed gheyath al-sharif;;;941,72;;-953 684,58
;A 364;2025-04-13;Card transaction Willys;;;856,23;;-952 828,35
;A 361;2025-04-14;Card transaction Willys;;;199,90;;-952 628,45
;A 536;2025-04-28;Repayment of Director's Loan;;;5 000,00;;-947 628,45
;A 439;2025-05-13;Sent money to ahmed gheyath al-sharif;;;11 273,60;;-936 354,85
;A 510;2025-05-20;Repayment of Director's Loan;;;;10 000,00;-946 354,85
;A 507;2025-05-26;Repayment of Director's Loan;;;12 906,00;;-933 448,85
;A 501;2025-05-27;Repayment of Director's Loan;;;1 000,00;;-932 448,85
;A 502;2025-05-27;Repayment of Director's Loan;;;6 000,00;;-926 448,85
;A 495;2025-06-02;51500954163 - Insñttning;;;;8 985,00;-935 433,85
;A 496;2025-06-02;51500997244 - Insñttning;;;;5 098,00;-940 531,85
;A 494;2025-06-03;Repayment of Director's Loan;;;25 000,00;;-915 531,85
;A 414;2025-06-16;Sent money to ahmed gheyath al-sharif;;;1 106,70;;-914 425,15
;A 427;2025-06-16;Sent money to Mohammad Alsharef;;;2 100,00;;-912 325,15
;A 481;2025-06-18;Loan from Director to Company - Cash Flow Support;;;;11 000,00;-923 325,15
;A 474;2025-06-24;Repayment of Director's Loan;;;20 000,00;;-903 325,15
;A 475;2025-06-24;Repayment of Director's Loan;;;12 713,12;;-890 612,03
;A 476;2025-06-24;Auronis Repayment of Director's Loan;;;11 000,00;;-879 612,03
;A 462;2025-06-26;Kortkp Besikta Eskilstuna - Business vehicle inspection;;;;359,00;-879 971,03
;A 464;2025-06-26;Repayment of documented loan from related party (Alsharif);;;;728 987,00;-1 608 958,03
;A 470;2025-06-27;Repayment of Director's Loan;;;45 000,00;;-1 563 958,03
;A 613;2025-06-30;235-IST-266493095 invoice 42 shipping from turkey ;;;;44 500,00;-1 608 458,03
;A 621;2025-06-30;Omföring av 65% av lån från Ahmed Gheyath Al-Sharif till villkorat aktieägartillskott enligt avtal 2025-07-20.;;;1,00;;-1 608 457,03
;A 759;2025-06-30;Återbitalning till nära stånde ;;;35 000,00;;-1 573 457,03
;A 626;2025-07-01;Google G Suite software;;;;101,41;-1 573 558,44
;A 627;2025-07-01;Fortnox software subscription;;;;149,00;-1 573 707,44
;A 628;2025-07-01;TikTok advertising;;;;55,77;-1 573 763,21
;A 637;2025-07-03;TEMU.COM - Business supplies;;;;339,00;-1 574 102,21
;A 635;2025-07-05;Moneygram Greece - business travel;;;;2 944,11;-1 577 046,32
;A 636;2025-07-06;Sormland traffic business travel;;;;23,00;-1 577 069,32
;A 640;2025-07-07;Aviation fee - flight booking;;;;35,00;-1 577 104,32
;A 638;2025-07-08;TEMU.COM - Business supplies;;;;702,00;-1 577 806,32
;A 647;2025-07-14;Fatoora Riyadh - business travel;;;;906,03;-1 578 712,35
;A 639;2025-07-19;TikTok Ads - Marketing expense;;;;2 000,00;-1 580 712,35
;A 656;2025-07-24;Shareholder loan repayment;;;15 274,28;;-1 565 438,07
;A 663;2025-07-31;Anthropic AI software;;;;1 125,75;-1 566 563,82
;A 748;2025-08-01;Google G Suite software;;;;73,01;-1 566 636,83
;A 668;2025-08-02;Fortnox software subscription;;;;149,00;-1 566 785,83
;A 674;2025-08-08;Tele2 telecom service;;;;112,84;-1 566 898,67
;A 744;2025-08-10;Resecentrum travel booking;;;;1 136,00;-1 568 034,67
;A 745;2025-08-11;National Express - business transport;;;;279,99;-1 568 314,66
;A 680;2025-08-16;Clas Ohlson business supplies;;;;79,90;-1 568 394,56
;A 681;2025-08-16;Shopify advertising EUR;;;;409,08;-1 568 803,64
;A 682;2025-08-16;IN & FINN AB business supplies;;;;241,00;-1 569 044,64
;A 686;2025-08-26;Hi3G telecom service;;;;1 215,00;-1 570 259,64
;A 746;2025-08-26;Budgetair flight booking;;;;555,88;-1 570 815,52
;A 687;2025-08-27;Shareholder loan repayment 2;;;12 000,00;;-1 558 815,52
;A 749;2025-09-01;Google G Suite software;;;;70,83;-1 558 886,35
;A 750;2025-09-02;Shopify advertising EUR;;;;156,65;-1 559 043,00
;A 710;2025-09-03;Fortnox software subscription;;;;149,00;-1 559 192,00
;A 711;2025-09-03;Temu business supplies;;;281,19;;-1 558 910,81
;A 721;2025-09-05;OpenAI AI software;;;;120,90;-1 559 031,71
;A 747;2025-09-05;Aviation fee;;;;39,00;-1 559 070,71
;A 723;2025-09-06;Malardalstrafik business transport;;;;367,00;-1 559 437,71
;A 726;2025-09-13;Shopify advertising EUR;;;;400,82;-1 559 838,53
;A 733;2025-09-22;Hi3G telecom service;;;;1 611,00;-1 561 449,53
;A 757;2025-09-22;Transfer payment from Wise USD account;;;9 426,49;;-1 552 023,04
;A 734;2025-09-24;TikTok advertising;;;;1 588,00;-1 553 611,04
;A 740;2025-09-30;Shareholder loan repayment 3;;;27 905,00;;-1 525 706,04
;A 742;2025-09-30;Shareholder loan repayment 4;;;17 000,00;;-1 508 706,04
;A 743;2025-09-30;St1 Gillbergaplan fuel;;;;980,77;-1 509 686,81
;A 985;2025-10-01;TikTok Ads - Marknadsforing;;;;1 070,11;-1 510 756,92
;A 988;2025-10-01;Google GSUITE - Fretagstjanst;;;;63,77;-1 510 820,69
;A 1009;2025-10-05;Tubekick - Underhllning/Fretag;;;;131,06;-1 510 951,75
;A 765;2025-10-06;St1 Gillbergaplan - Company fuel;;;;906,47;-1 511 858,22
;A 781;2025-10-06;Loan repayment TRY 61066.41 TRY;;;61 167,03;;-1 450 691,19
;A 968;2025-10-06;Wise Enterprise transfer;;;;2 026,20;-1 452 717,39
;A 971;2025-10-06;G&S By Samis jackets test transaktion;;;;1,00;-1 452 718,39
;A 971;2025-10-06;G&S By Samis jackets test transaktion;;;1,00;;-1 452 717,39
;A 972;2025-10-06;G&S By Samis jackets test transaktion;;;;1,00;-1 452 718,39
;A 972;2025-10-06;G&S By Samis jackets test transaktion;;;1,00;;-1 452 717,39
;A 766;2025-10-07;TEMU.COM - Company purchase;;;;1 117,28;-1 453 834,67
;A 767;2025-10-09;AMAZONMKTPLC - Company purchase;;;;1 293,87;-1 455 128,54
;A 768;2025-10-10;PEGASUS Turkey flight - Company travel;;;;867,14;-1 455 995,68
;A 784;2025-10-10;Loan repayment USD 320.00 USD;;;2 944,00;;-1 453 051,68
;A 1007;2025-10-11;Apple.com iCloud - Fretagstjanst;;;;249,00;-1 453 300,68
;A 982;2025-10-12;MALARDALSTRAFIKEN - Arbetsresa;;;;367,00;-1 453 667,68
;A 991;2025-10-13;Shopify Platform - E-handel;;;;404,59;-1 454 072,27
;A 981;2025-10-14;MALARDALSTRAFIKEN - Arbetsresa;;;;367,00;-1 454 439,27
;A 769;2025-10-16;TEMU.COM refund;;;126,62;;-1 454 312,65
;A 770;2025-10-16;TEMU.COM refund;;;24,64;;-1 454 288,01
;A 1006;2025-10-16;Apple.com iCloud - Fretagstjanst;;;;18,00;-1 454 306,01
;A 970;2025-10-20;G&S By Samis jackets test transaktion;;;;1,00;-1 454 307,01
;A 970;2025-10-20;G&S By Samis jackets test transaktion;;;1,00;;-1 454 306,01
;A 974;2025-10-23;Fortnox Bokforingsprogram;;;;149,00;-1 454 455,01
;A 979;2025-10-26;SJ AB Tag - Arbetsresa;;;;96,00;-1 454 551,01
;A 980;2025-10-26;SJ AB Tag - Arbetsresa;;;;96,00;-1 454 647,01
;A 975;2025-11-01;Fortnox Bokforingsprogram;;;;149,00;-1 454 796,01
;A 986;2025-11-01;Google GSUITE - Fretagstjanst;;;;63,12;-1 454 859,13
;A 969;2025-11-03;G&S By Samis jackets test transaktion;;;;1,00;-1 454 860,13
;A 969;2025-11-03;G&S By Samis jackets test transaktion;;;1,00;;-1 454 859,13
;A 993;2025-11-03;VIMLA Telefonabonnemang - Fretag;;;;21,28;-1 454 880,41
;A 994;2025-11-03;VIMLA Telefonabonnemang - Fretag;;;;104,51;-1 454 984,92
;A 995;2025-11-03;VIMLA Telefonabonnemang - Fretag;;;;63,87;-1 455 048,79
;A 996;2025-11-03;VIMLA Telefonabonnemang - Fretag;;;;63,87;-1 455 112,66
;A 1001;2025-11-10;St1 Gillbergaplan - Fretagsbrnsle;;;;946,42;-1 456 059,08
;A 992;2025-11-12;Shopify Platform - E-handel;;;;500,61;-1 456 559,69
;A 976;2025-11-14;Fortnox Bokforingsprogram;;;;24,00;-1 456 583,69
